Order_ID,Date,Product_Category,Quantity,Unit_Price,Discount,Customer_ID,Region
101,2026-01-01,Electronics,2,299.99,0.1,1001,North
102,2026-01-02,Clothing,1,45.5,0.0,1002,South
103,2026-01-03,Electronics,3,199.99,0.15,1001,North
104,2026-01-04,Books,1,12.99,0.0,1003,East
105,2026-01-05,Clothing,2,55.0,0.05,1002,West
106,2026-01-06,Electronics,4,149.99,0.2,1004,North
107,2026-01-07,,2,99.99,0.0,1003,South
108,2026-01-08,Books,1,15.99,0.05,1005,East
109,2026-01-09,Clothing,3,65.0,0.0,1004,West
110,2026-01-10,Electronics,2,249.99,0.1,1001,North
111,2026-01-11,Books,1,18.99,0.0,1002,South
112,2026-01-12,Clothing,2,42.0,0.1,1005,East
113,2026-01-13,Electronics,3,179.99,0.15,1003,West
114,2026-01-14,Books,1,9.99,0.0,1004,North
115,2026-01-15,Clothing,2,38.5,0.05,1005,South
116,2026-01-16,Electronics,4,299.99,0.2,1001,East
117,2026-01-17,Books,2,22.99,0.0,1002,West
118,2026-01-18,Clothing,1,48.0,0.05,1003,North
119,2026-01-19,Electronics,3,159.99,0.1,1004,South
120,2026-01-20,Books,2,14.99,0.0,1005,East
