Order_ID,Date,Product_Category,Quantity,Unit_Price,Discount,Customer_ID,Region,Total_Amount
101,2026-01-01,Electronics,2,299.99,0.1,1001,North,539.9820000000001
102,2026-01-02,Clothing,1,45.5,0.0,1002,South,45.5
103,2026-01-03,Electronics,3,199.99,0.15,1001,North,509.97450000000003
104,2026-01-04,Books,1,12.99,0.0,1003,East,12.99
105,2026-01-05,Clothing,2,55.0,0.05,1002,West,104.5
106,2026-01-06,Electronics,4,149.99,0.2,1004,North,479.9680000000001
107,2026-01-07,,2,99.99,0.0,1003,South,199.98
108,2026-01-08,Books,1,15.99,0.05,1005,East,15.1905
109,2026-01-09,Clothing,3,65.0,0.0,1004,West,195.0
110,2026-01-10,Electronics,2,249.99,0.1,1001,North,449.982
111,2026-01-11,Books,1,18.99,0.0,1002,South,18.99
112,2026-01-12,Clothing,2,42.0,0.1,1005,East,75.60000000000001
113,2026-01-13,Electronics,3,179.99,0.15,1003,West,458.97450000000003
114,2026-01-14,Books,1,9.99,0.0,1004,North,9.99
115,2026-01-15,Clothing,2,38.5,0.05,1005,South,73.14999999999999
116,2026-01-16,Electronics,4,299.99,0.2,1001,East,959.9680000000001
117,2026-01-17,Books,2,22.99,0.0,1002,West,45.98
118,2026-01-18,Clothing,1,48.0,0.05,1003,North,45.599999999999994
119,2026-01-19,Electronics,3,159.99,0.1,1004,South,431.973
120,2026-01-20,Books,2,14.99,0.0,1005,East,29.98
